Kreis-Id; Stadt;Winterweizen;Roggen und Wintermenggetreide;Wintergerste;Sommergerste;Hafer;Triticale;Kartoffeln;Zuckerrüben;Winterraps;Silomais
2024;;;;;;;;;;;
08111;      Stuttgart, Stadtkreis;/;/;/;53;/;/;/;410,3;/;/
08115;      Böblingen, Landkreis;71;/;/;55,5;/;/;/;/;43,2;/
08116;      Esslingen, Landkreis;61,4;/;57,4;39,4;46,7;/;/;/;/;430,4
08117;      Göppingen, Landkreis;69,8;/;70,3;/;47,3;/;/;/;45;498,5
08118;      Ludwigsburg, Landkreis;63,6;/;64,7;52,4;52,3;/;265,8;424,7;/;425,7
08119;      Rems-Murr-Kreis, Landkreis;60,5;/;58,9;/;44,8;/;/;/;/;423,7
08121;      Heilbronn, Stadtkreis;/;/;/;/;/;-;/;/;/;/
08125;      Heilbronn, Landkreis;71;/;64,4;61,2;/;/;417,6;653,6;41,4;473,5
08126;      Hohenlohekreis, Landkreis;64;/;65,4;38,5;/;/;/;666;35,4;449,5
08127;      Schwäbisch Hall, Landkreis;72;/;72,5;47,2;/;60,7;272,1;822,3;35,5;516,8
08128;      Main-Tauber-Kreis, Landkreis;64,8;/;63,3;51,6;/;64,1;109,7;819,8;36,4;482,3
08135;      Heidenheim, Landkreis;65;/;61,3;46,9;/;/;/;/;39;534,8
08136;      Ostalbkreis, Landkreis;59,2;/;69,5;46,5;26,9;55,4;/;/;44,9;446,2
08211;      Baden-Baden, Stadtkreis;-;/;/;/;-;-;/;-;-;/
08212;      Karlsruhe, Stadtkreis;/;/;/;/;/;/;/;/;/;/
08215;      Karlsruhe, Landkreis;60,3;48;52,8;53,2;51,4;/;407,3;765,2;35;/
08216;      Rastatt, Landkreis;47,1;/;48,3;/;/;/;/;-;/;/
08221;      Heidelberg, Stadtkreis;/;-;/;/;-;-;/;/;/;/
08222;      Mannheim, Stadtkreis;/;/;/;/;/;/;/;/;/;/
08225;      Neckar-Odenwald-Kreis, Landkreis;61,4;37,9;60,3;42;47,4;47,3;/;729;33,9;431,1
08226;      Rhein-Neckar-Kreis, Landkreis;66,6;31;61;59,4;54,4;/;/;762,2;35,5;503,1
08231;      Pforzheim, Stadtkreis;/;-;/;/;/;-;-;-;/;/
08235;      Calw, Landkreis;64,1;/;68,7;/;/;/;/;/;/;/
08236;      Enzkreis, Landkreis;68,8;/;60,9;52,1;/;/;/;/;38,6;467,4
08237;      Freudenstadt, Landkreis;72,9;/;62,7;42,1;39,7;52;/;-;41;496,9
08311;      Freiburg im Breisgau, Stadtkreis;/;/;/;/;/;/;-;/;-;-
08315;      Breisgau-Hochschwarzwald, Landkreis;82,6;/;71,1;/;/;/;/;/;/;294,6
08316;      Emmendingen, Landkreis;65,6;/;/;57,1;/;/;/;/;/;/
08317;      Ortenaukreis, Landkreis;54,7;/;52,3;/;/;/;/;/;/;/
08325;      Rottweil, Landkreis;79,9;/;77,8;/;/;/;/;-;39,5;489,4
08326;      Schwarzwald-Baar-Kreis, Landkreis;76,4;/;71,1;/;45,5;51,2;/;/;44,7;410,2
08327;      Tuttlingen, Landkreis;71,2;/;69,6;37,2;/;47,1;/;/;44,3;/
08335;      Konstanz, Landkreis;56,7;/;63,5;/;32,7;/;/;/;/;455,5
08336;      Lörrach, Landkreis;/;/;/;/;/;/;/;/;/;/
08337;      Waldshut, Landkreis;67,2;/;56,5;39,2;51,7;60,9;/;/;/;425
08415;      Reutlingen, Landkreis;56,9;41,2;58,5;38,2;45,3;57,5;/;/;29;405
08416;      Tübingen, Landkreis;68,8;/;73,1;47,7;40,5;/;/;886;45;/
08417;      Zollernalbkreis, Landkreis;50,1;/;/;/;35,4;/;/;-;/;426,2
08421;      Ulm, Stadtkreis;/;/;/;/;/;/;/;-;/;/
08425;      Alb-Donau-Kreis, Landkreis;68,7;/;66,1;53,4;46,8;57,7;/;/;40,5;422,3
08426;      Biberach, Landkreis;64,1;/;65,9;41,8;58,3;55,8;/;/;36,9;448,3
08435;      Bodenseekreis, Landkreis;/;/;68,9;/;/;/;/;/;/;/
08436;      Ravensburg, Landkreis;65,5;/;63,5;46,4;56,6;60;/;/;/;464
