,Jahr,Kreis-Id, Stadt,Winterweizen
398,2017,08417,"      Zollernalbkreis, Landkreis",67.2
400,2017,08425,"      Alb-Donau-Kreis, Landkreis",80.9
401,2017,08426,"      Biberach, Landkreis",88.7
402,2017,08435,"      Bodenseekreis, Landkreis",86.8
403,2017,08436,"      Ravensburg, Landkreis",84.6
404,2017,08437,"      Sigmaringen, Landkreis",89.2
406,2016,08111,"      Stuttgart, Stadtkreis",68.6
407,2016,08115,"      Böblingen, Landkreis",73.6
408,2016,08116,"      Esslingen, Landkreis",63.1
409,2016,08117,"      Göppingen, Landkreis",60.8
410,2016,08118,"      Ludwigsburg, Landkreis",67.6
411,2016,08119,"      Rems-Murr-Kreis, Landkreis",61.9
413,2016,08125,"      Heilbronn, Landkreis",71.1
414,2016,08126,"      Hohenlohekreis, Landkreis",68.5
415,2016,08127,"      Schwäbisch Hall, Landkreis",76.1
416,2016,08128,"      Main-Tauber-Kreis, Landkreis",66.9
417,2016,08135,"      Heidenheim, Landkreis",60.2
418,2016,08136,"      Ostalbkreis, Landkreis",67.6
421,2016,08215,"      Karlsruhe, Landkreis",58.5
422,2016,08216,"      Rastatt, Landkreis",60.3
425,2016,08225,"      Neckar-Odenwald-Kreis, Landkreis",63.5
426,2016,08226,"      Rhein-Neckar-Kreis, Landkreis",61.7
428,2016,08235,"      Calw, Landkreis",82.7
429,2016,08236,"      Enzkreis, Landkreis",66.2
430,2016,08237,"      Freudenstadt, Landkreis",78.1
432,2016,08315,"      Breisgau-Hochschwarzwald, Landkreis",68.7
433,2016,08316,"      Emmendingen, Landkreis",56.2
434,2016,08317,"      Ortenaukreis, Landkreis",54.2
435,2016,08325,"      Rottweil, Landkreis",69.5
436,2016,08326,"      Schwarzwald-Baar-Kreis, Landkreis",67.5
437,2016,08327,"      Tuttlingen, Landkreis",62.9
438,2016,08335,"      Konstanz, Landkreis",51.2
440,2016,08337,"      Waldshut, Landkreis",60.8
441,2016,08415,"      Reutlingen, Landkreis",58.7
442,2016,08416,"      Tübingen, Landkreis",68.8
443,2016,08417,"      Zollernalbkreis, Landkreis",62.5
445,2016,08425,"      Alb-Donau-Kreis, Landkreis",71.1
446,2016,08426,"      Biberach, Landkreis",64.7
447,2016,08435,"      Bodenseekreis, Landkreis",61.4
